CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
20487,CS,00100,  1,"Full Term ... 
16-JAN to 03-MAY",Online,"COMP SCI LEARNING COMMUNITY-RS3+1 students only
","Ryan, Natalie",   ,Online,,1,20,0,0,9,11,50,0,50,
20488,CS,00100,  2,"Full Term ... 
16-JAN to 03-MAY",Day,COMP SCI LEARNING COMMUNITY-RS,"Fischetti, Jessica Lee","M       1015 1215 ROBSON 121 (Exam)
M       1100 1215 ROBSON 121 (Class)",Main,,1,65,0,0,54,11,50,0,50,65
20489,CS,00100,  3,"Full Term ... 
16-JAN to 03-MAY",Evening,COMP SCI LEARNING COMMUNITY-RS,"Ferrara, Jill T","M       1700 1815 JAMES 3114 (Class)
M       1700 1900 JAMES 3114 (Exam)",Main,,1,65,0,0,50,15,50,0,50,68
20490,CS,00100,  4,"Full Term ... 
16-JAN to 03-MAY",Evening,COMP SCI LEARNING COMMUNITY-RS,STAFF,,Main,,1,0,0,0,0,0,0,0,0,
20566,CS,01101,  1,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTER SCIENCE PRINCIPLES,"Swift, Adam R",   ,Online,,3,35,0,0,35,0,50,0,50,
20569,CS,01101,  2,"Full Term ... 
16-JAN to 03-MAY",Online,COMPUTER SCIENCE PRINCIPLES,"Togashi, Michele Mayumi",   ,Online,,3,35,0,0,34,1,50,0,50,
20570,CS,01101,  3,"Full Term ... 
16-JAN to 03-MAY",Day,COMPUTER SCIENCE PRINCIPLES,"Smith, Howard R","MW      1230 1345 ROBSON 325 (Class)
W       1230 1430 ROBSON 325 (Exam)",Main,,3,27,0,0,26,1,50,0,50,27
20579,CS,01104,  1,"Full Term ... 
16-JAN to 03-MAY",Evening,INTRO PROG/PROB SLV:C#,"Epler, Robert Michael","T       1830 1945 ROBSON 325 (Class)
T       1905 2105 ROBSON 325 (Exam)
T       2000 2115 ROBSON 325 (Class)",Main,,3,27,0,0,15,12,50,0,50,27
20591,CS,01104,  2,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO PROG/PROB SLV:JAVA,"Basu, Shuba","TR      0800 0915 BUSN 233 (Class)
T       0800 1000 BUSN 233 (Exam)",Main,,3,31,0,0,30,1,50,0,50,40
20592,CS,01104,  3,"Full Term ... 
16-JAN to 03-MAY",Day,INTRO PROG/PROB SLV:JAVA,"Guo, Guimu","TR      0930 1045 BUSN 233 (Class)
R       1015 1215 BUSN 233 (Exam)",Main,,3,31,0,0,26,5,50,0,50,40
